{ 0.7, 0.7, 0.7}
56
{ -7.23, 9.07 }
{ -6.67, 9.44 }
{ -5.87, 9.52 }
{ -4.96, 9.20 }
{ -4.75, 8.67 }
{ -4.56, 7.92 }
{ -3.79, 7.20 }
{ -2.72, 7.12 }
{ -0.24, 5.68 }
{ 1.25, 3.31 }
{ 2.21, 1.36 }
{ 3.36, 0.99 }
{ 4.37, 1.55 }
{ 4.13, 2.91 }
{ 2.53, 3.95 }
{ 1.49, 5.44 }
{ 1.44, 7.44 }
{ 1.73, 8.64 }
{ 4.80, 8.48 }
{ 4.69, 6.64 }
{ 2.21, 6.80 }
{ 2.45, 5.84 }
{ 3.12, 4.88 }
{ 4.64, 4.24 }
{ 5.68, 2.80 }
{ 5.89, 0.83 }
{ 5.17, -0.48 }
{ 5.25, -1.84 }
{ 6.61, -3.28 }
{ 7.92, -6.32 }
{ 5.65, -7.81 }
{ 2.24, -8.37 }
{ -2.51, -7.73 }
{ -3.20, -5.81 }
{ -2.59, -4.88 }
{ -0.99, -4.00 }
{ -0.08, -3.28 }
{ -0.19, -2.64 }
{ -0.75, -2.08 }
{ -1.20, -0.96 }
{ -0.32, 0.83 }
{ -0.56, 2.11 }
{ -1.04, 3.20 }
{ -1.76, 4.19 }
{ -3.07, 4.91 }
{ -4.32, 5.39 }
{ -5.23, 5.39 }
{ -5.79, 4.16 }
{ -6.43, 3.31 }
{ -7.60, 3.20 }
{ -8.16, 3.87 }
{ -8.91, 5.28 }
{ -8.80, 6.27 }
{ -8.48, 7.52 }
{ -7.79, 8.24 }
{ -7.20, 9.12 }
